Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Contig N50	Assembly Stats Scaffold N50	Annotation BUSCO Complete 	Annotation BUSCO Single Copy 	Annotation BUSCO Duplicated 	Annotation BUSCO Fragmented 	Annotation BUSCO Missing 	Annotation BUSCO Lineage 	Assembly Sequencing Tech	Assembly Submitter	Assembly BioProject Accession	Assembly BioSample Accession	Annotation Count Gene Total	Annotation Count Gene Protein-coding	Annotation Count Gene Pseudogene	Annotation Count Gene Non-coding
GCA_000189315.1	Devil_ref v7.0	Sarcophilus harrisii					Salem	female		3174693010	Scaffold	2/17/11	AEFK01	20139	1847106							Illumina HiSeq2000	Wellcome Trust Sanger Institute	PRJNA51853	SAMN02953780				
GCA_030036215.2	BBT_HP.nuclear_genome	Saccharomyces cerevisiae							Annotation submitted by ibps sorbonne universite	36373664	Contig	11/30/22	CANCML02	590880								Oxford Nanopore Technology (ONT) and Illumina Hiseq 2000	ibps sorbonne universite	PRJEB50706	SAMEA12946404	19168	17318		840
GCA_949122205.1	BBT_HP.nuclear_genome.ScRAP	Saccharomyces cerevisiae							Annotation submitted by ibps sorbonne universite	36373664	Contig	4/8/23	CASBLP01	590880								Oxford Nanopore Technology (ONT) and Illumina Hiseq 2000	ibps sorbonne universite	PRJEB59232	SAMEA12946404	19168	17318		840
GCA_030036295.2	BTE_HP.nuclear_genome	Saccharomyces cerevisiae							Annotation submitted by ibps sorbonne universite	47741338	Contig	11/29/22	CANCFL02	454642								Oxford Nanopore Technology (ONT) and Illumina Hiseq 2000	ibps sorbonne universite	PRJEB50706	SAMEA12946420	25309	22811		1120
GCA_949122555.1	BTE_HP.nuclear_genome.ScRAP	Saccharomyces cerevisiae							Annotation submitted by ibps sorbonne universite	47741338	Contig	4/8/23	CASBLS01	454642								Oxford Nanopore Technology (ONT) and Illumina Hiseq 2000	ibps sorbonne universite	PRJEB59232	SAMEA12946420	25309	22811		1120
GCA_030036475.2	CRE_HP.nuclear_genome	Saccharomyces cerevisiae							Annotation submitted by ibps sorbonne universite	31910067	Contig	11/30/22	CANCTG02	407266								Oxford Nanopore Technology (ONT) and Illumina Hiseq 2000	ibps sorbonne universite	PRJEB50706	SAMEA12946450	16906	15245		761
GCA_949123125.1	CRE_HP.nuclear_genome.ScRAP	Saccharomyces cerevisiae							Annotation submitted by ibps sorbonne universite	31910067	Contig	4/8/23	CASBLM01	407266								Oxford Nanopore Technology (ONT) and Illumina Hiseq 2000	ibps sorbonne universite	PRJEB59232	SAMEA12946450	16906	15245		761
GCA_030036335.2	CGH_1_HP.nuclear_genome	Saccharomyces cerevisiae							Annotation submitted by ibps sorbonne universite	28796060	Contig	11/30/22	CANBQZ02	374356								Oxford Nanopore Technology (ONT) and Illumina Hiseq 2000	ibps sorbonne universite	PRJEB50706	SAMEA12946434	15331	13805		726
GCA_949123915.1	CGH_1_HP.nuclear_genome.ScRAP	Saccharomyces cerevisiae							Annotation submitted by ibps sorbonne universite	28796060	Contig	4/8/23	CASBLK01	374356								Oxford Nanopore Technology (ONT) and Illumina Hiseq 2000	ibps sorbonne universite	PRJEB59232	SAMEA12946434	15331	13805		726
GCA_030036455.2	CPS_HP.nuclear_genome	Saccharomyces cerevisiae							Annotation submitted by ibps sorbonne universite	31486056	Contig	11/30/22	CANCMJ02	345565								Oxford Nanopore Technology (ONT) and Illumina Hiseq 2000	ibps sorbonne universite	PRJEB50706	SAMEA12946446	16751	14996		760
GCA_949123795.1	CPS_HP.nuclear_genome.ScRAP	Saccharomyces cerevisiae							Annotation submitted by ibps sorbonne universite	31486056	Contig	4/8/23	CASBLL01	345565								Oxford Nanopore Technology (ONT) and Illumina Hiseq 2000	ibps sorbonne universite	PRJEB59232	SAMEA12946446	16751	14996		760
GCA_030036095.2	ANL_HP.nuclear_genome	Saccharomyces cerevisiae							Annotation submitted by ibps sorbonne universite	42141336	Contig	11/30/22	CANCTU02	307004								Oxford Nanopore Technology (ONT) and Illumina Hiseq 2000	ibps sorbonne universite	PRJEB50706	SAMEA12946384	22635	20585		1021
GCA_949122235.1	ANL_HP.nuclear_genome.ScRAP	Saccharomyces cerevisiae							Annotation submitted by ibps sorbonne universite	42141336	Contig	4/8/23	CASBLR01	307004								Oxford Nanopore Technology (ONT) and Illumina Hiseq 2000	ibps sorbonne universite	PRJEB59232	SAMEA12946384	22635	20585		1021
GCA_030036235.2	BEM_HP.nuclear_genome	Saccharomyces cerevisiae							Annotation submitted by ibps sorbonne universite	35839082	Contig	11/30/22	CANCNF02	221851								Oxford Nanopore Technology (ONT) and Illumina Hiseq 2000	ibps sorbonne universite	PRJEB50706	SAMEA12946411	19397	17629		918
GCA_949123935.1	BEM_HP.nuclear_genome.ScRAP	Saccharomyces cerevisiae							Annotation submitted by ibps sorbonne universite	35839082	Contig	4/8/23	CASBLQ01	221851								Oxford Nanopore Technology (ONT) and Illumina Hiseq 2000	ibps sorbonne universite	PRJEB59232	SAMEA12946411	19397	17629		918
GCA_030036115.2	ANM_HP.nuclear_genome	Saccharomyces cerevisiae							Annotation submitted by ibps sorbonne universite	57099456	Contig	11/29/22	CANCMT02	200554								Oxford Nanopore Technology (ONT) and Illumina Hiseq 2000	ibps sorbonne universite	PRJEB50706	SAMEA12946385	30655	27828		1430
GCA_949123435.1	ANM_HP.nuclear_genome.ScRAP	Saccharomyces cerevisiae							Annotation submitted by ibps sorbonne universite	57099456	Contig	4/8/23	CASBLT01	200554								Oxford Nanopore Technology (ONT) and Illumina Hiseq 2000	ibps sorbonne universite	PRJEB59232	SAMEA12946385	30655	27828		1430
GCA_030036155.2	AVN_HP.nuclear_genome	Saccharomyces cerevisiae							Annotation submitted by ibps sorbonne universite	31401219	Contig	11/30/22	CANBZZ02	196444								Oxford Nanopore Technology (ONT) and Illumina Hiseq 2000	ibps sorbonne universite	PRJEB50706	SAMEA12946393	16803	15313		760
GCA_949122215.1	AVN_HP.nuclear_genome.ScRAP	Saccharomyces cerevisiae							Annotation submitted by ibps sorbonne universite	31401219	Contig	4/8/23	CASBLN01	196444								Oxford Nanopore Technology (ONT) and Illumina Hiseq 2000	ibps sorbonne universite	PRJEB59232	SAMEA12946393	16803	15313		760
GCA_030036135.2	ATV_HP.nuclear_genome	Saccharomyces cerevisiae							Annotation submitted by ibps sorbonne universite	32845401	Contig	11/30/22	CANBQV02	144232								Oxford Nanopore Technology (ONT) and Illumina Hiseq 2000	ibps sorbonne universite	PRJEB50706	SAMEA12946391	17540	15839		774
GCA_949123835.1	ATV_HP.nuclear_genome.ScRAP	Saccharomyces cerevisiae							Annotation submitted by ibps sorbonne universite	32845401	Contig	4/8/23	CASBLO01	144232								Oxford Nanopore Technology (ONT) and Illumina Hiseq 2000	ibps sorbonne universite	PRJEB59232	SAMEA12946391	17540	15839		774
GCA_030036315.2	CFC_HP.nuclear_genome	Saccharomyces cerevisiae							Annotation submitted by ibps sorbonne universite	21331923	Contig	11/30/22	CANCTQ02	90624								Oxford Nanopore Technology (ONT) and Illumina Hiseq 2000	ibps sorbonne universite	PRJEB50706	SAMEA12946432	11431	10362		498
GCA_949122505.1	CFC_HP.nuclear_genome.ScRAP	Saccharomyces cerevisiae							Annotation submitted by ibps sorbonne universite	21331923	Contig	4/8/23	CASBLJ01	90624								Oxford Nanopore Technology (ONT) and Illumina Hiseq 2000	ibps sorbonne universite	PRJEB59232	SAMEA12946432	11431	10362		498
GCA_000151625.1	ASM15162v1	Bombyx mori		p50T (= Dazao)				male		481803763	Scaffold	4/28/08	BABH01	15508	4008358								The international silkworm genome sequencing consortium	PRJDA20217	SAMD00036537				
GCA_018894095.1	ASM1889409v1	Fusarium oxysporum f. sp. conglutinans		Cong1-1					Annotation submitted by RIKEN	72150645	Scaffold	6/16/21	RSAI01	1120686	4865101							PacBio Sequel	RIKEN	PRJNA506492	SAMN10461798	21781	21781		
GCA_000271745.2	FO_FOSC_3_a_V1	Fusarium oxysporum NRRL 32931		NRRL 32931					Annotation submitted by Broad Institute	47906303	Scaffold	2/6/14	AFML01	538881	4457292							Illumina	Broad Institute	PRJNA67067	SAMN02981331	17642	17280	7	355
GCA_000349665.1	MesAur1.0	Mesocricetus auratus					Golden Hamster female 1	female		2504908775	Scaffold	3/29/13	APMT01	22512	12753307							Illumina HiSeq	Broad Institute	PRJNA77669	SAMN00769068				
GCA_000355885.1	BGI_duck_1.0	Anas platyrhynchos	Pekin duck					female	"Annotation submitted by State Key Laboratory for Agrobiotechnology, China Agricultural University, Beijing"	1105035747	Scaffold	4/26/13	ADON01	26114	1233631							Solexa	"State Key Laboratory for Agrobiotechnology, China Agricultural University, Beijing"	PRJNA46621	SAMN00011637	18146	16627	1519	
GCA_000419365.1	C_griseus_v1.0	Cricetulus griseus								2360130144	Scaffold	7/12/13	AMDS01	27129	1558295							Illumina HiSeq	Beijing Genomics Institution-shenzhen	PRJNA167053	SAMN02981459				
GCA_000313045.1	ASM31304v1	Cucumis melo			DHL92					374772472	Scaffold	10/5/12	CAJI01	18072	4278129								"Genetica Molecular, Centre de Recerca en Agrigenomica (CRAG)"	PRJEB68	SAMEA2272451				
GCA_002775015.1	Cand_auris_B11221_V1	[Candida] auris		B11221					Annotation submitted by Centers for Disease Control and Prevention	12741178	Scaffold	11/15/17	PGLS01	1467420	2363944							PacBio	Centers for Disease Control and Prevention	PRJNA328792	SAMN05379609	5715	5521	3	191
GCA_001189475.1	ASM118947v1	[Candida] auris		6684					Annotation submitted by Indian Institute of Science (IISc)	12498763	Scaffold	7/30/15	LGST01	30547	267017							Illumina HiSeq; Illumina MiSeq	Indian Institute of Science (IISc)	PRJNA267757	SAMN03200169	8301	7461	8	95
GCA_000471725.1	UMD_CASPUR_WB_2.0	Bubalus bubalis	Mediterranean					female		2836150610	Scaffold	9/30/13	AWWX01	21938	1412388							Illumina GAIIx; Illumina HiSeq; 454	University of Maryland	PRJNA207334	SAMN02191888				
GCA_001654055.1	ASM165405v1	Hevea brasiliensis			reyan7-33-97					1373365927	Scaffold	6/1/16	LVXX01	60036	1281786							Illumina HiSeq	Rubber Research Institute	PRJNA310386	SAMN04451765				
GCA_003719455.1	ASM371945v1	Trypanosoma cruzi		G					Annotation submitted by Virginia Commonwealth University	25174796	Scaffold	11/8/18	MKKV01	6701	74655							454	Virginia Commonwealth University	PRJNA315397	SAMN04566062	13503	12708	740	55
GCA_003719155.1	ASM371915v1	Trypanosoma cruzi		CL					Annotation submitted by Virginia Commonwealth University	26770383	Scaffold	11/5/18	MKQG01	4068	73547							454	Virginia Commonwealth University	PRJNA315397	SAMN04566063	34344	32278	1962	104
GCA_001876365.2	canu_80X_arrow2.2	Aedes albopictus					C6/36			2247289552	Contig	1/9/17	MNAF02	3303944								PacBio	J. Craig Venter Institute	PRJNA345486	SAMN05908721				
GCA_947598445.1	ORENIAB8128_EIv1.1	Mustela putorius furo		inbred					Annotation submitted by the earlham insitute	1095366212	Scaffold	12/17/22	CANQGJ01	21687892	35291912							"PacBio, Illumina Novaseq 6000"	the earlham insitute	PRJEB57170	SAMN00149631	36288	36288		
GCA_000215625.1	MusPutFur1.0	Mustela putorius furo	Sable				ID#1420	female		2410863155	Scaffold	6/2/11	AEYP01	44823	9335154							Illumina GA II; HiSeq 2000	Ferret Genome Sequencing Consortium	PRJNA59869	SAMN00149631				
GCA_000209225.1	ASM20922v1	Nematostella vectensis		CH2 x CH6					Annotation submitted by DOE Joint Genome Institute (JGI)	356613585	Scaffold	8/22/07	ABAV01	19835	472588								DOE Joint Genome Institute (JGI)	PRJNA12581	SAMN02953687	27173	24773	2400	
GCA_000142985.2	Acyr_2.0	Acyrthosiphon pisum		LSR1						541675471	Scaffold	6/24/10	ABLF02	28201	518546							Sanger; 454	Baylor College of Medicine	PRJNA13657	SAMN00000061				
GCA_000696525.1	JatCur_1.0	Jatropha curcas			GZQX0401				Annotation submitted by Chinese Academy of Sciences	318363250	Scaffold	6/2/14	AFEW01	27183	746835							Illumina GAII; Illumina HS	Chinese Academy of Sciences	PRJNA63485	SAMN02799222	27172	27172		
GCA_002156985.1	Harm_1.0	Helicoverpa armigera					Harm_GR_Male_#8	male	Annotation submitted by Helicoverpa Genome Consortium	337072206	Scaffold	5/22/17	NHMN01	23479	1000414							Illumina HiSeq	Helicoverpa Genome Consortium	PRJNA378437	SAMN06608624	17082	17082		
GCA_000330985.1	DBM_FJ_V1.1	Plutella xylostella		DBM-FZ-S						393454548	Scaffold	1/4/13	AHIO01	18517	737182							Illumina Hiseq2000	Plutella xylostella genome consortium	PRJNA78271	SAMN02953808				
GCA_000757685.1	NilLug1.0	Nilaparvata lugens					NLH13	female		1140786310	Scaffold	9/24/14	AOSB01	23518	356597							Illumina HiSeq 2000; Illumina GA-II	Nilaparvata lugens Genome Consortium	PRJNA177647	SAMN03077662				
GCA_000789215.2	ASM78921v2	Bactrocera dorsalis		Punador						414968693	Scaffold	12/3/14	JFBF01	4913	1206000							454	USDA-ARS	PRJNA208413	SAMN02203716				
GCA_002926015.1	ASM292601v1	Gossypium barbadense			Xinhai21				Annotation submitted by Gossypium barbadense cv. Xinhai21 genome sequencing consortium and Esquel Group	775251585	Scaffold	2/13/18	LAGB01	108595	259851							Illumina; PacBio; ABI3730	Gossypium barbadense cv. Xinhai21 genome sequencing consortium and Esquel Group	PRJNA251673	SAMN02800869	36871	36871		
GCA_000004095.1	Hydra_RP_1.0	Hydra vulgaris		105						852155112	Scaffold	10/30/09	ACZU01	10113	96317								JCVI	PRJNA12876	SAMN00000081				
GCA_000826765.1	Fundulus_heteroclitus-3.0.2	Fundulus heteroclitus					Maine	female		1021882034	Scaffold	1/21/15	JXMV01	16689	1252252							Illumina	The Genome Institute at Washington University School of Medicine	PRJNA177717	SAMN03277211				
GCA_905219595.1	AG3-1A1	Rhizoctonia solani		AG3-1A1					Annotation submitted by KING ABDULLAH UNIVERSITY OF SCIENCE AND TECHNOLOGY	71708704	Scaffold	3/19/21	CAJMWU01	24164	29147								KING ABDULLAH UNIVERSITY OF SCIENCE AND TECHNOLOGY	PRJEB42614	SAMEA7848369	10958	10958		
GCA_003724035.1	ASM372403v1	Tachysurus fulvidraco					Tf-2017	female		713794198	Scaffold	11/13/18	REGT01	980445	3653474							Illumina HiSeq	BGI-SZ	PRJNA494039	SAMN10147840				
GCA_000230445.1	HetGla_1.0	Heterocephalus glaber						male	Annotation submitted by Beijing Genomics Institute	2643961837	Scaffold	10/14/11	AFSB01	21750	1603177							Illumina HiSeq 2000	Beijing Genomics Institute	PRJNA68323	SAMN00217190	21771	21771		
GCA_000971095.1	AnsCyg_PRJNA183603_v1.0	Anser cygnoides domesticus	Zhedong					male		1119134887	Scaffold	4/8/15	AOGC01	27608	5202740							Illumina Hiseq2000	Anser cygnoides Genome consortium	PRJNA183603	SAMN01830643				
GCA_002892825.2	ISE6_asm2.2_deduplicated	Ixodes scapularis								2081329876	Contig	9/28/18	PKSA02	835681								PacBio	J. Craig Venter Institute	PRJNA345486	SAMN06329993				
GCA_000208615.1	JCVI_ISG_i3_1.0	Ixodes scapularis		Wikel colony					Annotation submitted by Ixodes scapularis Genome Project	1765382190	Scaffold	4/18/08	ABJB01	2942	76228							Sanger	Ixodes scapularis Genome Project	PRJNA16232	SAMN03004382	24939	20486	14	4439
GCA_001983325.1	ASM198332v1	Pichia kudriavzevii		129					Annotation submitted by WUR	11679144	Scaffold	2/2/17	MQVM01	202904	336598							Illumina MiSeq; PacBio	WUR	PRJNA353174	SAMN06011374	5470	5470		
GCA_004143615.1	amil_sf_1.1	Acropora millepora					SF001			386599652	Scaffold	2/6/19	QTZP01	36677	494532							Illumina HiSeq	Australian National University	PRJNA473876	SAMN09287627				
GCA_000315295.1	Pbr_v1.0	Pyrus x bretschneideri			Dangshansuli					508550595	Scaffold	12/3/12	AJSU01	33767	535028							Illumina HS2000	Nanjing Agricultural University	PRJNA157875	SAMN01797448				
GCA_000612305.1	Egrandis1_0	Eucalyptus grandis			BRASUZ1				Annotation submitted by Geneglob	691269672	Scaffold	5/2/14	AUSX01	67250	53892272							ABI 3739	Geneglob	PRJNA49047	SAMN02230419	36779	36779		
GCA_000151685.2	JCVI_RCG_1.1	Ricinus communis			Hale				Annotation submitted by J. Craig Venter Institute	350458699	Scaffold	7/7/11	AASG02	21401	496528								J. Craig Venter Institute	PRJNA16585	SAMN02953659	32025	31307		716
GCA_000413155.1	DPV01	Phoenix dactylifera			Khalas			female		555607186	Scaffold	6/24/13	ATBV01	10909	334083							454; SOLiD; ABI3730	Joint Center for Genomics Research	PRJNA83433	SAMN02981540				
GCA_001957025.1	Aet_MR_1.0	Aegilops tauschii subsp. tauschii			AL8/78					4327207513	Contig	1/19/17	MCGU01	468757								PacBio; Illumina HiSeq; Illumina MiSeq	Johns Hopkins University	PRJNA329335	SAMN05426520				
GCA_000003085.2	ASM308v2	Plasmodium yoelii yoelii					17XNL		Annotation submitted by TIGR	23125449	Contig	10/3/02	AABL01	7710								Sanger	TIGR	PRJNA1436	SAMN02952904	3040	2990		50
GCA_004010815.2	ASM401081v2	Aphis gossypii	cotton aphid				AGOS-L3	female		293918444	Scaffold	1/10/19	PPXK01	77349	438373							Illumina HiSeq	"Institute of Plant Physiology and Ecology,SIBS,CAS"	PRJNA431119	SAMN08384359				
GCA_000236235.1	SpeTri2.0	Ictidomys tridecemlineatus					#75	female		2478393770	Scaffold	11/29/11	AGTP01	44137	8192786							Illumina HiSeq	Broad Institute	PRJNA61725	SAMN00210855				
GCA_002007265.1	ASM200726v1	Spinacia oleracea			Sp75					869795571	Scaffold	2/27/17	LZYP01	42560	319471							Illumina HiSeq	Cornell University	PRJNA325593	SAMN05242642				
GCA_003640425.2	ASM364042v2	Galleria mellonella					Carbio01_MB	male		401899506	Scaffold	11/6/19	RBWF02	22549	13483299							Illumina HiSeq	University of Illinois at Urbana-Champaign	PRJNA494147	SAMN10148411				
GCA_000188075.2	Si_gnH	Solenopsis invicta						male		398979080	Scaffold	8/1/18	AEAQ02	21162	621039							454; Illumina HiSeq	Universite de Lausanne	PRJNA49629	SAMN02953778				
GCA_000510995.2	Spinach-1.0.3	Spinacia oleracea			SynViroflay				Annotation submitted by Beta vulgaris resource	493771890	Scaffold	7/22/15	AYZV02	5971	19014							Illumina HiSeq	Beta vulgaris resource	PRJNA41497	SAMN02182572	21540	21539		
GCA_001305755.1	ASM130575v1	Equus asinus	Guanzhong donkey				Maral har	male		2391034547	Scaffold	10/2/15	JREZ01	66737	3776412							Illumina MiSeq; 454; Illumina HiSeq	Inner Mongolian Agricultural University	PRJNA259598	SAMN03010633				
GCA_000209185.1	CulPip1.0	Culex quinquefasciatus		JHB					Annotation submitted by Broad Institute	579042118	Scaffold	4/23/07	AAWU01	28546	486756							Sanger	Broad Institute	PRJNA18751	SAMN02953674	22629	18883	27	3719
GCA_903189775.1	CHRIC3	Rhizophagus irregularis					CHC3		Annotation submitted by University of Lausanne	221670124	Scaffold	6/25/21	CAEVNN01	72045	987129								University of Lausanne	PRJEB33553	SAMEA5841291	42261	41483	776	
GCA_001922835.1	NIST Tur_tru v1	Tursiops truncatus					MMES2002162SC	female		2132499883	Scaffold	12/28/16	MRVK01	44302	26555543							Illumina HiSeq	National Institute of Standards and Technology	PRJNA356464	SAMN06114300				
GCA_001678115.1	ASM167811v1	Aureobasidium pullulans					Santander		Annotation submitted by Center for Genomic Regulation (CRG)	17598654	Scaffold	7/1/16	LVWM01	30181	30461							Illumina MiSeq	Center for Genomic Regulation (CRG)	PRJNA315541	SAMN04565625	6411	6411		
GCA_000500345.1	Pman_1.0	Peromyscus maniculatus bairdii								2630541020	Scaffold	12/3/13	AYHN01	36367	3760915							FLX 454; Illumina HiSeq	Baylor College of Medicine	PRJNA53563	SAMN00848614				
GCA_003285975.3	DanaRS2.1	Drosophila ananassae		14024-0371.16-18				female		217108776	Contig	10/23/18	QMES02	6212830								PacBio Sequel; Illumina	University of Arizona/ University of Chiago/ Cornell University	PRJNA475270	SAMN09383008				
GCA_000005115.1	dana_caf1	Drosophila ananassae		TSC#14024-0371.13					FlyBase Release 1.04	230993012	Scaffold	6/30/06	AAPP01	95247	4599533								Agencourt Bioscience Corporation	PRJNA12651	SAMN02953648	15807	14365	274	1168
GCA_000001985.1	JCVI-PMFA1-2.0	Talaromyces marneffei ATCC 18224		ATCC 18224					Annotation submitted by J. Craig Venter Institute	28643865	Scaffold	10/29/08	ABAR01	541514	3339384								J. Craig Venter Institute	PRJNA19555	SAMN02953685	10138	10023	4	111
GCA_004000445.1	ASM400044v1	Chilo suppressalis					HZU2018		Annotation submitted by Wing-Kin Sung	824354176	Scaffold	1/8/19	RSAL01	642389	1753049							Illumina HiSeq; PacBio RSII	Wing-Kin Sung	PRJNA506136	SAMN10502114	15653	15653		
GCA_000004335.1	AilMel_1.0	Ailuropoda melanoleuca						female	"Annotation submitted by Beijing Genomics Institute, Shenzhen"	2299492210	Scaffold	12/15/09	ACTA01	39886	1281781								"Beijing Genomics Institute, Shenzhen"	PRJNA38683	SAMN00008160	22586	17538	3600	1448
GCA_002906115.4	CorkOak1.0	Quercus suber					HL8		Annotation submitted by Genosuber	953298670	Scaffold	12/6/18	PKMF03	80917	465160							Illumina	Genosuber	PRJNA392919	SAMN07312269	79750	79281	91	
